Ingredient,Density
Almond meal,0.35
Almond paste,1.079166667
Almonds (sliced),0.358333333
Almonds (slivered),0.475
"Almonds, whole (unblanched)",0.591666667
Amaranth flour,0.429166667
Apple juice concentrate,1.166666667
"Apples (dried, diced)",0.354166667
"Apples (peeled, sliced)",0.470833333
Applesauce,1.0625
"Apricots (dried, diced)",0.533333333
Baking powder,0.8
Baking soda,1.2
Barley flour,0.354166667
Barley malt syrup,1.4
Basil pesto,0.933333333
Blueberries (dried),0.65
Bran cereal,0.25
Breadcrumbs (dried),0.466666667
Breadcrumbs (fresh),0.35
Breadcrumbs (Japanese Panko),0.208333333
Brown rice flour,0.533333333
"Brown sugar (dark or light, packed)",0.8875
Buckwheat (whole),0.708333333
Buckwheat Flour,0.5
Buttermilk,0.945833333
Buttermilk powder,0.6
Cacao nibs,0.5
Caraway seeds,0.6
Cashews (whole or chopped),0.470833333
Cheese (Feta),0.475
"Cheese (grated cheddar, jack, mozzarella, or Swiss)",0.470833333
Cheese (grated Parmesan),0.416666667
Cheese (Ricotta),0.945833333
"Cherries (fresh, pitted, chopped)",0.666666667
Cherries (frozen),0.470833333
Chia seeds,0.616666667
Chickpea flour,0.354166667
Chocolate (chopped),0.708333333
Chocolate Chips,0.708333333
Chocolate Chunks,0.708333333
Cocoa (unsweetened),0.35
Coconut,0.354166667
"Coconut (unsweetened, large flakes)",0.25
"Coconut (unsweetened, shredded)",0.220833333
Coconut cream (unsweetened),1.183333333
Coconut Flour,0.533333333
Coconut milk,1.004166667
Coconut Milk Powder,0.475
Coconut oil,0.941666667
Coconut sugar,0.641666667
Confectioners' sugar (unsifted),0.470833333
Corn syrup,1.3
Cornmeal (whole),0.575
"Cornmeal (yellow, Quaker)",0.65
Cornstarch,0.466666667
Cottage cheese,0.941666667
Cracked wheat,0.620833333
Cranberries (dried),0.475
Cranberries (fresh or frozen),0.4125
Light cream (or half & half),0.945833333
Cream cheese,0.945833333
Cream of coconut,1.183333333
Crème fraiche,0.941666667
Currants,0.591666667
Dates (chopped),0.620833333
Demerara sugar,0.916666667
Dried nonfat milk (powdered),0.466666667
Dried whole milk (powdered),0.416666667
Durum Flour,0.516666667
Espresso Powder,0.466666667
"Figs (dried, chopped)",0.620833333
Flax meal,0.416666667
Flaxseed,0.583333333
Ghee,0.733333333
"Ginger (fresh, sliced)",0.95
Pizza flour,0.416666667
"All-Purpose Flour, gluten-free",0.65
Glutinous rice flour,0.5
Graham cracker crumbs (store-bought or crushed from whole),0.416666667
Granola,0.470833333
Grape Nuts,0.475
Guava paste,1.666666667
Hazelnut flour,0.370833333
Hazelnut Praline Paste,1.3
Hazelnut spread,1.333333333
Hazelnuts (whole),0.591666667
Honey,1.4
Jam or preserves,1.416666667
Lard,0.941666667
Lemon Curd,0.941666667
Lemon juice,0.933333333
Lemon or lime Juice Powder,0.6
Macadamia nuts (whole),0.620833333
Malt syrup,1.433333333
Malted Milk Powder,0.583333333
Malted Wheat Flakes,0.533333333
Maple Cream,1.4
Maple sugar,0.65
Marshmallows (mini),0.179166667
Marzipan,1.208333333
Masa Harina,0.3875
Mascarpone cheese,0.945833333
Matcha powder,0.4
Mayonnaise,0.941666667
Meringue powder,0.716666667
Milk (evaporated),0.941666667
Milk (fresh),0.945833333
Millet (whole),0.858333333
Molasses,1.416666667
Nutella,1.241666667
Oat bran,0.441666667
Oat Flour,0.383333333
Oats (rolled),0.470833333
Oats (old-fashioned or quick-cooking),0.370833333
Olive oil,0.833333333
Palm shortening,0.75
Pastry Flour,0.441666667
Pastry Flour Blend,0.470833333
Peaches (peeled and diced),0.708333333
Peanut butter,1.125
"Peanuts (whole, shelled)",0.591666667
Pears (peeled and diced),0.679166667
Pecan Meal,0.333333333
Pecans (diced),0.475
Pecans (whole),0.4375
Pine nuts,0.591666667
"Pineapple (crushed, drained)",1.066666667
Pineapple (dried),0.591666667
"Pineapple (fresh or canned, diced)",0.708333333
Pistachio nuts (shelled),0.5
Pistachio Paste,1.3
Polenta (coarse ground cornmeal),0.679166667
Poppy seeds,0.6
Potato Flour,0.766666667
Potato starch,0.633333333
Pumpernickel Flour,0.441666667
Pumpkin purée ,0.945833333
Pumpkin seeds,0.666666667
Queso fresco,0.475
Quinoa (cooked),0.766666667
Quinoa (whole),0.7375
Quinoa flour,0.458333333
Raisins (loose),0.620833333
Raisins (packed),0.708333333
Raspberries (fresh),0.5
"Rice (long grain, dry)",0.825
Rice flour (white),0.591666667
Rye Chops,0.5
Rye flakes,0.516666667
Rye Flour Blend,0.441666667
"Salt (Kosher, Diamond Crystal)",0.533333333
"Salt (Kosher, Morton's)",1.066666667
Salt (table),1.2
Self-Rising Flour,0.470833333
Semolina Flour,0.679166667
Sesame seeds,0.591666667
Sorghum flour,0.575
Sour cream,0.945833333
Soy flour,0.583333333
Spelt Flour,0.4125
Sprouted Wheat Flour,0.470833333
Steel cut oats,0.583333333
Strawberries (fresh sliced),0.695833333
Sugar substitute (Splenda),0.104166667
Sunflower seeds,0.583333333
Swedish Pearl Sugar,0.816666667
Sweetened condensed coconut milk,1.2
Sweetened condensed milk,1.3
Tahini paste,1.066666667
Tapioca starch or flour,0.470833333
Tapioca (quick cooking),0.7
Teff flour,0.5625
Toffee chunks,0.65
Tomato paste,0.966666667
Turbinado sugar (raw),0.75
Vanilla Extract,0.933333333
Vegetable oil,0.825
Vegetable shortening,0.766666667
Walnuts (chopped),0.470833333
Walnuts (whole),0.533333333
Wheat berries (red),0.766666667
Wheat bran,0.266666667
Wheat germ,0.466666667
White Chocolate Chips,0.708333333
White Rye Flour,0.441666667
Yeast (instant),0.6
Yogurt,0.945833333
